
# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# DAAG
DAAG,23,OTARO,OTARO,2
DAAG,23,OTARO,BOURI,1
DAAG,23,OTARO,BJA,1
DAAG,23,OTARO,BABOR,1
DAAG,23,OTARO,TAGRO,1
DAAG,23,OTARO,BSA,1
DAAG,23,OTARO,CHE,1
DAAG,23,OTARO,LABRO,1
DAAG,23,PECES,SADAF,1
DAAG,23,PECES,MOGIL,1
DAAG,23,PECES,PECES,2
DAAG,23,PECES,OTARO,1
DAAG,23,PECES,BOURI,1
DAAG,23,PECES,BJA,1
DAAG,23,PECES,BABOR,1
DAAG,23,PECES,TAGRO,1
DAAG,23,PECES,BSA,1
DAAG,23,PECES,CHE,1
DAAG,23,PECES,LABRO,1
DAAG,23,MOGIL,SADAF,1
DAAG,23,MOGIL,MOGIL,2
DAAG,23,MOGIL,PECES,1
DAAG,23,MOGIL,OTARO,1
DAAG,23,MOGIL,BOURI,1
DAAG,23,MOGIL,BJA,1
DAAG,23,MOGIL,BABOR,1
DAAG,23,MOGIL,TAGRO,1
DAAG,23,MOGIL,BSA,1
DAAG,23,MOGIL,CHE,1
DAAG,23,MOGIL,LABRO,1
DAAG,05,SADAF,SADAF,2
DAAG,05,SADAF,MOGIL,1
DAAG,05,SADAF,PECES,1
DAAG,05,SADAF,OTARO,1
DAAG,05,SADAF,BOURI,1
DAAG,05,SADAF,BJA,1
DAAG,05,SADAF,BABOR,1
DAAG,05,SADAF,TAGRO,1
DAAG,05,SADAF,BSA,1
DAAG,05,SADAF,CHE,1
DAAG,05,SADAF,LABRO,1
DAAG,05,LABRO,SADAF,1
DAAG,05,LABRO,MOGIL,1
DAAG,05,LABRO,PECES,1
DAAG,05,LABRO,OTARO,1
DAAG,05,LABRO,BOURI,1
DAAG,05,LABRO,BJA,1
DAAG,05,LABRO,BABOR,1
DAAG,05,LABRO,TAGRO,1
DAAG,05,LABRO,BSA,1
DAAG,05,LABRO,CHE,1
DAAG,05,LABRO,LABRO,2
DAAG,05,CHE,SADAF,1
DAAG,05,CHE,MOGIL,1
DAAG,05,CHE,PECES,1
DAAG,05,CHE,OTARO,1
DAAG,05,CHE,BOURI,1
